Temp	freq	eps_real	eps_imag	loss	condAC_real	condAC_imag	m_real	m_imag	z_real	z_imag	Cp	Rp	Z_real_normalized	Z_imag_normalized	|Z|	Theta	Z_real_normalized	Z_imag_normalized	Dimensions
354	125893	32.9081	0.247954	0.00753473	1.74E-06	0.000230479	0.0303859	0.00022895	481.735	63935.3	1.98E-11	8.49E+06	3268.98	433855	63937.1	89.5683	1.74E-08	2.30E-06	0
354	141254	32.8932	0.237416	0.00721776	1.87E-06	0.000258485	0.0303998	0.000219418	411.473	57008.4	1.98E-11	7.90E+06	2792.19	386849	57009.9	89.5865	1.87E-08	2.58E-06	0
354	158489	32.8721	0.229563	0.00698352	2.02E-06	0.000289839	0.0304194	0.000212435	355.053	50841.6	1.98E-11	7.28E+06	2409.33	345002	50842.8	89.5999	2.02E-08	2.90E-06	0
354	177828	32.8564	0.231936	0.0070591	2.29E-06	0.000325048	0.030434	0.000214837	320.02	45334.3	1.97E-11	6.42E+06	2171.6	307631	45335.5	89.5955	2.29E-08	3.25E-06	0
354	199526	32.8426	0.228813	0.00696694	2.54E-06	0.000364558	0.0304468	0.000212121	281.612	40421.2	1.97E-11	5.80E+06	1910.97	274292	40422.2	89.6008	2.54E-08	3.65E-06	0
354	223872	32.8245	0.227489	0.00693046	2.83E-06	0.000408816	0.0304635	0.000211126	249.811	36045.3	1.97E-11	5.20E+06	1695.17	244597	36046.2	89.6029	2.83E-08	4.09E-06	0
354	251189	32.8083	0.22788	0.00694582	3.18E-06	0.000458471	0.0304787	0.000211699	223.248	32141.4	1.97E-11	4.63E+06	1514.93	218106	32142.1	89.602	3.18E-08	4.58E-06	0
354	281838	32.7907	0.226894	0.00691947	3.56E-06	0.000514138	0.030495	0.000211009	198.321	28661.3	1.97E-11	4.14E+06	1345.78	194491	28662	89.6035	3.56E-08	5.14E-06	0
354	316228	32.778	0.225107	0.00686763	3.96E-06	0.000576648	0.0305069	0.00020951	175.498	25554.4	1.97E-11	3.72E+06	1190.9	173408	25555	89.6065	3.96E-08	5.77E-06	0
354	354813	32.7685	0.231928	0.00707778	4.58E-06	0.000646823	0.0305156	0.000215982	161.245	22781.9	1.97E-11	3.22E+06	1094.18	154594	22782.5	89.5945	4.58E-08	6.47E-06	0
354	398107	32.7493	0.227791	0.0069556	5.05E-06	0.000725321	0.0305336	0.000212379	141.312	20316.3	1.97E-11	2.92E+06	958.922	137863	20316.8	89.6015	5.05E-08	7.25E-06	0
354	446684	32.7327	0.22282	0.00680724	5.54E-06	0.000813413	0.030549	0.000207955	123.321	18116.1	1.97E-11	2.66E+06	836.835	122933	18116.6	89.61	5.54E-08	8.13E-06	0
354	501187	32.7217	0.219067	0.00669483	6.11E-06	0.000912357	0.0305594	0.00020459	108.132	16151.5	1.97E-11	2.41E+06	733.763	109601	16151.8	89.6164	6.11E-08	9.12E-06	0
354	562341	32.7073	0.218987	0.00669536	6.85E-06	0.00102323	0.0305728	0.000204696	96.4223	14401.4	1.97E-11	2.15E+06	654.306	97725.3	14401.7	89.6164	6.85E-08	1.02E-05	0
354	630957	32.6921	0.217271	0.00664596	7.63E-06	0.00114755	0.0305871	0.00020328	85.3422	12841.2	1.96E-11	1.93E+06	579.118	87138.3	12841.5	89.6192	7.63E-08	1.15E-05	0
354	707946	32.6781	0.215449	0.00659308	8.49E-06	0.00128702	0.0306002	0.00020175	75.4885	11449.7	1.96E-11	1.74E+06	512.252	77695.5	11449.9	89.6222	8.49E-08	1.29E-05	0
354	794328	32.6658	0.209507	0.00641365	9.26E-06	0.00144352	0.0306118	0.000196333	65.473	10208.4	1.96E-11	1.59E+06	444.289	69272.4	10208.6	89.6325	9.26E-08	1.44E-05	0
354	891251	32.6566	0.207288	0.0063475	1.03E-05	0.0016192	0.0306204	0.000194363	57.7673	9100.79	1.96E-11	1.43E+06	391.999	61756.5	9100.98	89.6363	1.03E-07	1.62E-05	0
354	1.00E+06	32.6425	0.202612	0.00620699	1.13E-05	0.00181599	0.0306337	0.000190143	50.3674	8114.61	1.96E-11	1.31E+06	341.784	55064.4	8114.77	89.6444	1.13E-07	1.82E-05	0
371	100	21.0975	12.5139	0.593146	6.96E-08	1.17E-07	0.035063	0.0207975	5.51E+07	9.29E+07	1.27E-11	2.12E+08	3.74E+08	6.30E+08	1.08E+08	59.3259	6.96E-10	1.17E-09	0
371	112.202	34.6375	4.23215	0.122184	2.64E-08	2.16E-07	0.0284458	0.00347562	8.21E+06	6.72E+07	2.08E-11	5.58E+08	5.57E+07	4.56E+08	6.77E+07	83.0339	2.64E-10	2.16E-09	0
371	125.893	37.5733	3.35985	0.0894211	2.35E-08	2.63E-07	0.0264035	0.00236103	4.97E+06	5.56E+07	2.26E-11	6.26E+08	3.37E+07	3.77E+08	5.58E+07	84.8901	2.35E-10	2.63E-09	0
371	141.254	36.7434	3.34701	0.0910916	2.63E-08	2.89E-07	0.0269918	0.00245873	4.61E+06	5.06E+07	2.21E-11	5.60E+08	3.13E+07	3.43E+08	5.08E+07	84.7952	2.63E-10	2.89E-09	0
371	158.489	36.4942	1.76683	0.0484139	1.56E-08	3.22E-07	0.0273376	0.00132352	2.21E+06	4.57E+07	2.19E-11	9.46E+08	1.50E+07	3.10E+08	4.57E+07	87.2282	1.56E-10	3.22E-09	0
371	177.828	37.2018	3.6527	0.098186	3.61E-08	3.68E-07	0.0266237	0.00261408	3.89E+06	3.97E+07	2.24E-11	4.08E+08	2.64E+07	2.69E+08	3.98E+07	84.3923	3.61E-10	3.68E-09	0
371	199.526	39.2196	0.983445	0.0250753	1.09E-08	4.35E-07	0.0254814	0.000638956	848280	3.38E+07	2.36E-11	1.35E+09	5.76E+06	2.30E+08	3.38E+07	88.5636	1.09E-10	4.35E-09	0
371	223.872	36.7339	2.94911	0.080283	3.67E-08	4.58E-07	0.0270485	0.00217153	2.57E+06	3.20E+07	2.21E-11	4.01E+08	1.74E+07	2.17E+08	3.21E+07	85.41	3.67E-10	4.58E-09	0
371	251.189	37.0208	2.25041	0.0607877	3.14E-08	5.17E-07	0.0269124	0.00163594	1.73E+06	2.84E+07	2.22E-11	4.69E+08	1.17E+07	1.93E+08	2.84E+07	86.5214	3.14E-10	5.17E-09	0
371	281.838	36.0402	4.23472	0.1175	6.64E-08	5.65E-07	0.027369	0.00321585	3.02E+06	2.57E+07	2.17E-11	2.22E+08	2.05E+07	1.75E+08	2.59E+07	83.2985	6.64E-10	5.65E-09	0
371	316.228	35.6977	2.66248	0.074584	4.68E-08	6.28E-07	0.0278581	0.00207776	1.74E+06	2.33E+07	2.14E-11	3.15E+08	1.18E+07	1.58E+08	2.34E+07	85.7346	4.68E-10	6.28E-09	0
